,Hub_name,Country,City,Town,Founded,Address,Postal Code,Operator,Group,Website,Phone,Twitter,Email,Type,Focus,Status,Cost (Local currency),Source,Opens,Closes
25,Silicon Cape Initiative,South Africa,Cape Town,,2009.0,"Workshop 17, 17 Dock Road, V&A Waterfront",8002.0,,Private,,,,,,,,,,,
26,Smart Xchange,South Africa,Durban,Durban Central,2012.0,5 Walnut Road,4001.0,,Private,http://www.smartxchange.co.za,+27 31 307-1988,,info@smartxchange.co.za,,,,,,,
27,Smart Xchange,South Africa,Durban,Port Shepstone,2012.0,54 Mitchells Drive,4240.0,,Private,http://www.smartxchange.co.za,+27 39 682-0631,,info@smartxchange.co.za,,,,,,,
28,Softstart Technology,South Africa,Johannesburg,Midrand,2005.0,"220 Second Rd, Randjiespark",1685.0,,Private,,,,,,,,,,,
29,Start-up 90,South Africa,Cape Town,Woodstock,2013.0,"160 Sir Lowry Rd, Buchanan Square",7925.0,,Private,,,,,,,,,,,
30,TechinBraam,South Africa,Johannesburg,Johannesburg,2013.0," 45 Juta St, LINK Centre Tshimologong Precinct",2000.0,,Private,,,,,,,,,,,
31,The House 4 Hack,South Africa,Pretoria,Pretoria,2010.0,"4 Burger Ave, Lyttleton Manor",157.0,,Private,,,,,,,,,,,
32,The Innovation,South Africa,Durban,Greyville,2011.0,41/43 M L Sultan Rd,4001.0,,Academic,,,,,,,,,,,
33,The Innovation Hub,South Africa,Pretoria,,2012.0,Mark Shuttleworth St,87.0,,Private,,,,,,,,,,,
34,ThoughtWorks,South Africa,Johannesburg,Braamfontein,2012.0,"2nd Floor, South Point Central, 17 Melle St",2000.0,,Private,,,,,,,Closed,,,,
35,Tshimologong Precinct,South Africa,Johannesburg,Braamfontein,2016.0,47 Juta Street,,Wits University,Academic,https://tshimologong.joburg,+27 10 822 3530,,"community@tshimologong.joburg

",,,,,,,
36,Mest Incubator,South Africa,Cape Town,Woodstock,,"Woodstock Exchange, 401a, Albert Rd",7915.0,,Private,https://meltwater.org/seed-fund-incubator/cape-town/,,,capetown@meltwater.org,,,,,,,
37,Standard Hatfield Hub,South Africa,Pretoria,Hatfield,,440 Hilda Street,,Standard Bank,Private,,,,,,,,,,,
38,Absa Experience,South Africa,Johannesburg,Rosebank,,"Rosebank POC, The Zone Phase 2, 31 Tyrwhitt Ave",2196.0,ABSA,Private,,,,,,,,,,,
39,Standard Bank Incubator,South Africa,Johannesburg,Rosebank,,"5 Cradock Ave, Rosebank",2196.0,Standard Bank,Private,,,,,,,,,,,
40,Akro,South Africa,Cape Town,Salt River,,"17 Shelley Road, Salt River, Cape Town / 25 Wale Street, City Centre",,,Private,,+27 72 459 3610,,janine@akro.co.za,,,,,,,
41,Greenpoint Co-working,South Africa,Cape Town,Green Point,,40 Somerset Road,,,Private,,+27 72 724 7409,,info@greenpointcoworking.co.za,Co-working,,,,,,
42,Growth Space,South Africa,Cape Town,Martinville,,"122 Main Road (2nd floor), Oudehuis Centre",,,Private,,+27 82 967 5129,,info@sharedspace.co.za,,,,,,,
43,Inner City Ideas Cartel,South Africa,Cape Town,Cape Town,,"71 Waterkant Street, Cape Town, 113 Loop Street",,,Private,https://www.ideascartel.com,+27 21 824 1781,,innercity@ideascartel.com,Co-working,,,,,,
44,Meeting Place on Long,South Africa,Cape Town,Cape Town,,"20th Floor, 1 Thibault Square Long St",,,Private,,27215650065,,info@meetingplaceonlong.co.za,,,,,,,
45,№80 Hout Street,South Africa,Cape Town,Cape Town,,"80 Hout Street, City Centre",,,Private,,,,,,,,,,,
46,Spaces,South Africa,Cape Town,Century City,,"1 Bridgeway Road, City Centre",,,Private,,+27 11 549 5775,,reception.centurycitybc@spacesworks.com,,,,,,,
47,Spin Street House,South Africa,Cape Town,Cape Town,,"8 Spin Street, City Centre",,,Private,,+27 81 717 1881,,hello@spinstreet.co,,,,,,,
48,The Bureaux,South Africa,Cape Town,Woodstock,,"Woodstock Exchange, Albert Rd",7915.0,,,,+27 87 470 0369,,info@thebureaux.co.za,,,,,,,
49,The Cowork Space,South Africa,Cape Town,Pinelands,,"Howard Drive (2nd floor), Howard Shopping Centre",,,,,+27 21 808 9494,,wilna.beukes@gmail.com,,,,,,,
50,The Planet Art,South Africa,Cape Town,Cape Town,,"The Planet Art Building, 32 Jamieson Street",,,,,+27 21 424 0406,,elmarie@theplanetart.co.za,,,,,,,
51,Venture Work Space,South Africa,Cape Town,Claremont,,11 Imam Haron Road,,,,,+27 21 035 1400,,info@ctworkspace.com,,,,,,,
52,Work And Co,South Africa,Cape Town,Cape Town,,"7 Bree Street (11th – 14th floor), Touchstone House",,,,,+27 21 202 6040,,info@workandco.co.za,,,,,,,
53,Workshop 17,South Africa,Cape Town,Cape Town,,"17 Dock Road, V&A Waterfront",,,,,+27 21 205 9000,,info@workshop17.co.za,,,,editor@weetracker.com,https://weetracker.com/2018/04/07/a-comprehensive-list-of-co-working-spaces-in-cape-town-for-startups/,,
54,mLab Southern Africa,South Africa,Pretoria,Tshwane,2012.0,"Workshop 17, Portswood, Extension, V&A Waterfront, 9 Dock Road",,,,https://www.mlab.co.za/,+27 12 844 0240,,,,,,,,,
55,Muzinda Umuzi hub,Zimbabwe,Harare,Strathaven,,9 Verdi Lane,,,,,,,info@muzindaumuzihub.com,,,,,,,
56,Batanai2create,,,,,,,,,www.b2c.co.zw,+263 4 771 578,,hello@b2c.co.zw,,,,,,08:00:00,20:00:00
57,Tech Hub Harare,Zimbabwe,Harare,Harare,,Cnr Central Ave and Park lane ,,,,https://cowork.co.zw,263718924393,@hararehub,hararehub@gmail.com,Co-working,,,,,,
58,Hypercube hub,Zimbabwe,Harare,Belgravia,,11 Phillips Avenue,,,,,+263772419732,,,,,,,,,
59,Tech village,Zimbabwe,Bulawayo,Bulawayo,,Cnr Jason Moyo and 9th Ave,,,,https://www.techvillage.org.zw,+263731-222-222,,hello@techvillage.org.zw,Co-working,,,,,,
60,Skyhub,Zimbabwe,Bulawayo,Bulawayo,,55 Jason Moyo,,,,www.skyhub.co.zw,"
+263 77 728 5685",,,Co-working,,,,,08:00:00,20:00:00
61,Area 46,Zimbabwe,Harare,Mount Pleasant,,46 Mount Pleasant Drive,,,,https://www.area46.co.zw,+27772 413 471,,joe@area46.co.zw,Co-working,,,,,,
62,Impact Hub Harare,Zimbabwe,Harare,Harare,,194 Baines Avenue,,,,http://impacthubharare.net/,+263 782 639 919,,info.harare@impacthub.net,Hybrid,,,,,,
63,First Steps Venture Center,Botswana, Gaborone, Gaborone,2013.0,"Plot 50654 Machel Drive, near Riverwalk Mall",,,,,,,,,,,,,,
64,Namibia Business Innovation Centre,Namibia,Windhoek,Windhoek West,2012.0,1 – 3 Glück Street,,,,http://nbii.nust.na/,+264 61 207 2885,,nbii@nust.na,Tech hub,,,,,,
65,MICTI Technology and Business Centre,, Maputo,,2006.0,"University Eduardo Mondlane, University Main Campus, 257 Julius Nyerere Avenue",,,,,,,,,,,,,,
66,Bongohive Zambia,Zambia,Lusaka,Lusaka,2011.0,25 Mpulungu Rd,10101.0,,,,,,,,,,,,,
67,"National Institute for Support of Micro, Small and Medium Enterprises (INAPEM)",Angola,Luanda,Marginal,2015.0,AV. February 4 nº 83 R / C,,,,http://www.portal.inapem.gov.ao/inapem.aspx,,,cleopatraladonna@hotmail.com,,,,,,,
68,Imani Hub,Democratic Republic of Congo,Kinshasa,,2014.0,,,,,,,,,Co-working,,,,,,
69,Kinu Innovation and Co-Creation Space,Tanzania,Dar es Salaam,Dar es Salaam,2011.0,"245 Conservation House, Bagamoyo Rd",,,,,,,,,,,,,,
